,Unnamed: 0,country,population,total_tests,total_cases,total_deaths,total_recovered,income_group,expected_years_of_school,iso_alpha
0,0,United States,331552784,119497624.0,8037789,220011.0,5184615.0,High income,12.9,USA
1,1,India,1383826697,87872093.0,7173565,109894.0,6224792.0,Lower middle income,11.1,IND
2,2,Brazil,212986866,17900000.0,5103408,150709.0,4495269.0,Upper middle income,11.9,BRA
3,3,Colombia,51035485,4202181.0,919083,27985.0,798396.0,Upper middle income,12.9,COL
4,4,Spain,46759952,14590713.0,918223,33124.0,,High income,13.0,ESP
5,5,Argentina,45312730,2239514.0,903730,24186.0,732582.0,Upper middle income,12.9,ARG
6,6,Peru,33100421,4092566.0,851171,33357.0,748097.0,Upper middle income,13.0,PER
7,7,Mexico,129313982,2088941.0,817503,83781.0,594180.0,Upper middle income,12.8,MEX
8,8,France,65314670,12394558.0,743479,32779.0,100828.0,High income,13.8,FRA
9,9,South Africa,59518442,4418418.0,693359,17863.0,624659.0,Upper middle income,10.2,ZAF
10,10,Chile,19162518,3729159.0,482888,13379.0,454484.0,High income,13.0,CHL
11,11,Iraq,40471654,2507551.0,405437,9912.0,340050.0,Upper middle income,6.9,IRQ
12,12,Bangladesh,165151528,2084222.0,379738,5555.0,294391.0,Lower middle income,10.2,BGD
13,13,Italy,60436357,12650155.0,359569,36205.0,240600.0,High income,13.3,ITA
14,14,Philippines,109989739,4168181.0,342816,6332.0,293152.0,Lower middle income,12.9,PHL
15,15,Saudi Arabia,34965237,7060483.0,339615,5068.0,325839.0,High income,12.4,SAU
16,16,Turkey,84594371,11731350.0,337147,8895.0,295658.0,Upper middle income,12.1,TUR
17,17,Indonesia,274337514,3802093.0,336716,11935.0,258519.0,Upper middle income,12.4,IDN
18,18,Germany,83860174,18129900.0,331094,9721.0,276900.0,High income,13.3,DEU
19,19,Pakistan,222082317,3884796.0,319317,6580.0,304185.0,Lower middle income,9.4,PAK
20,20,Israel,9197590,3992799.0,294031,2021.0,238681.0,High income,13.8,ISR
21,21,Ukraine,43658014,2602635.0,265454,5015.0,114410.0,Lower middle income,12.9,UKR
22,22,Canada,37835533,8191592.0,182839,9627.0,154258.0,High income,13.7,CAN
23,23,Netherlands,17145676,2656731.0,181498,6596.0,,High income,13.9,NLD
24,24,Belgium,11603951,3705273.0,162258,10191.0,20272.0,High income,13.5,BEL
25,25,Romania,19200659,2682588.0,157352,5467.0,118912.0,High income,11.8,ROU
26,26,Morocco,37033425,2897811.0,153761,2636.0,129498.0,Lower middle income,10.4,MAR
27,27,Ecuador,17717896,467328.0,147315,12218.0,128134.0,Upper middle income,12.9,ECU
28,28,Poland,37834743,3693108.0,130210,3039.0,81201.0,High income,13.4,POL
29,29,Qatar,2807805,837486.0,128191,220.0,125176.0,High income,12.8,QAT
30,30,Czechia,10714645,1605138.0,121421,1051.0,58200.0,High income,13.6,CZE
31,31,Panama,4333725,548807.0,120802,2502.0,96675.0,High income,10.7,PAN
32,32,Dominican Republic,10878547,522112.0,118843,2179.0,94532.0,Upper middle income,11.9,DOM
33,33,Kuwait,4288226,788705.0,111893,664.0,103802.0,High income,12.0,KWT
34,34,Nepal,29282543,1191514.0,111802,645.0,77277.0,Lower middle income,12.3,NPL
35,35,Kazakhstan,18839771,3045439.0,108831,1746.0,104041.0,Upper middle income,13.7,KAZ
36,36,Oman,5142297,376700.0,106575,1046.0,93222.0,High income,12.8,OMN
37,37,Sweden,10117104,1789328.0,98451,5894.0,,High income,13.9,SWE
38,38,Guatemala,18007652,363714.0,97826,3387.0,87016.0,Upper middle income,9.7,GTM
39,39,Japan,126365294,2306033.0,89347,1629.0,82113.0,High income,13.6,JPN
40,40,Costa Rica,5107237,257549.0,89223,1108.0,53247.0,Upper middle income,13.1,CRI
41,41,Portugal,10188174,2852722.0,87913,2094.0,53498.0,High income,13.9,PRT
42,42,China,1439323776,160000000.0,85578,4634.0,80714.0,Upper middle income,13.1,CHN
43,43,Ethiopia,115746603,1356630.0,85136,1301.0,38904.0,Low income,7.8,ETH
44,44,Honduras,9948563,198152.0,84081,2512.0,32012.0,Lower middle income,9.6,HND
45,45,Belarus,9448434,2087430.0,83998,901.0,77423.0,Upper middle income,13.8,BLR
46,46,Bahrain,1717558,1557638.0,75948,280.0,71687.0,High income,12.8,BHR
47,47,Switzerland,8672522,1506450.0,64436,2096.0,49500.0,High income,13.3,CHE
48,48,Uzbekistan,33604858,1377915.0,61319,509.0,58306.0,Lower middle income,12.0,UZB
49,49,Nigeria,207544416,554006.0,60430,1115.0,51943.0,Lower middle income,10.2,NGA
50,50,Singapore,5863343,3072368.0,57880,28.0,57728.0,High income,13.9,SGP
51,51,Armenia,2964822,327163.0,56821,1026.0,45891.0,Upper middle income,11.3,ARM
